keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
amber band ring,amber_core,140,HIGH,75,0.0,0.0,amber_general
amber crystal jewellery,amber_core,140,HIGH,100,0.43,1.13,amber_general
amber diamond necklace,amber_core,140,MEDIUM,66,0.0,0.0,amber_general
amber heart ring,amber_core,140,MEDIUM,64,0.0,0.0,amber_general
amber jewelry with bugs,amber_core,140,HIGH,100,0.17,0.68,amber_general
amber stores,amber_core,140,LOW,9,0.0,0.0,amber_general
antique cherry amber necklace,amber_core,140,HIGH,81,0.0,0.0,amber_general
baltic amber brooch,amber_core,140,MEDIUM,43,0.0,0.0,amber_general
baltic amber raw,amber_core,140,HIGH,100,0.28,1.15,amber_general
big amber necklace,amber_core,140,HIGH,100,0.09,0.55,amber_general
celtic amber ring,amber_core,140,MEDIUM,34,0.0,0.0,amber_general
ebay amber,amber_core,140,MEDIUM,55,0.0,0.0,amber_general
moroccan amber necklace,amber_core,140,MEDIUM,49,0.0,0.0,amber_general
pressed amber necklace,amber_core,140,HIGH,74,0.0,0.0,amber_general
solid amber ring,amber_core,140,HIGH,90,0.0,0.0,amber_general
vintage amber bead necklace,amber_core,140,HIGH,100,0.08,0.43,amber_general
vintage amber silver ring,amber_core,140,HIGH,70,0.0,0.0,amber_general
vintage cherry amber necklace,amber_core,140,HIGH,81,0.0,0.0,amber_general
yellow amber pendant,amber_core,140,HIGH,69,0.0,0.0,amber_general
raw baltic amber,amber_core,140,HIGH,100,0.28,1.15,amber_types
amber locket,amber_core,140,HIGH,92,0.0,0.0,amber_types
amber bee brooch,amber_core,140,MEDIUM,41,0.0,0.0,amber_types
amber ebay,amber_core,140,MEDIUM,55,0.0,0.0,amber_types
dark amber beads,amber_core,140,MEDIUM,39,0.0,0.0,amber_types
blue amber rings,amber_core,140,HIGH,100,0.13,1.05,amber_colors
cherry red amber,amber_core,140,MEDIUM,41,0.0,0.0,amber_colors
genuine amber jewelry,amber_core,110,MEDIUM,40,0.22,0.75,amber_general
baltic teething necklace,amber_core,110,HIGH,100,0.65,3.66,amber_general
amber jewelry for sale,amber_core,110,HIGH,98,0.22,2.68,amber_general
baltic essentials teething necklace,amber_core,110,HIGH,100,0.43,84.02,amber_general
teething jewelry,amber_core,110,HIGH,98,0.35,1.15,amber_general
real amber bracelet,amber_core,110,HIGH,100,0.29,1.13,amber_general
ember necklace,amber_core,110,HIGH,95,0.7,2.99,amber_general
real amber beads,amber_core,110,HIGH,100,0.29,0.63,amber_general
genuine amber bracelet,amber_core,110,HIGH,100,0.29,1.13,amber_general
polish amber necklace,amber_core,110,HIGH,100,0.26,1.08,amber_general
larimar and amber jewelry,amber_core,110,HIGH,100,0.23,0.85,amber_general
antique amber jewelry,amber_core,110,HIGH,100,0.15,0.8,amber_general
green amber bracelet,amber_core,110,HIGH,92,0.45,0.83,amber_general
yellow amber earrings,amber_core,110,MEDIUM,59,0.0,0.0,amber_general
gold amber pendant,amber_core,110,HIGH,100,0.0,0.0,amber_general
adult teething necklace,amber_core,110,HIGH,87,0.12,0.52,amber_general
amber charm,amber_core,110,HIGH,82,0.0,0.0,amber_general
red amber earrings,amber_core,110,HIGH,77,0.0,0.0,amber_general
amber gift,amber_core,110,HIGH,100,0.38,0.92,amber_general
blue amber earrings,amber_core,110,MEDIUM,47,0.26,0.83,amber_general
amber necklace with insect,amber_core,110,HIGH,100,0.26,1.47,amber_general
amber and gold pendant,amber_core,110,HIGH,100,0.0,0.0,amber_general
amber bracelet for women,amber_core,110,HIGH,100,0.33,1.3,amber_general
amber bug necklace,amber_core,110,HIGH,100,0.26,1.47,amber_general
amber chains,amber_core,110,HIGH,68,0.0,0.0,amber_general
amber crystal pendant,amber_core,110,HIGH,68,0.0,0.0,amber_general
amber heart earrings,amber_core,110,HIGH,86,0.27,1.07,amber_general
amber sceats emery bracelet,amber_core,110,MEDIUM,41,0.0,0.0,amber_general
amber sun pendant,amber_core,110,HIGH,100,0.19,0.72,amber_general
butterscotch amber bracelet,amber_core,110,HIGH,77,0.0,0.0,amber_general
carved amber jewelry,amber_core,110,LOW,31,0.0,0.0,amber_general
cherry amber bakelite necklace,amber_core,110,HIGH,97,0.04,0.43,amber_general
cherry amber earrings,amber_core,110,HIGH,81,0.0,0.0,amber_general
cherry amber pendant,amber_core,110,MEDIUM,59,0.0,0.0,amber_general
cherry amber ring,amber_core,110,MEDIUM,65,0.0,0.0,amber_general
chunky amber bracelet,amber_core,110,HIGH,100,0.0,0.0,amber_general
crystals amber,amber_core,110,LOW,26,0.0,0.0,amber_general
gold and amber pendant,amber_core,110,HIGH,100,0.0,0.0,amber_general
house amber necklace,amber_core,110,LOW,0,0.0,0.0,amber_general
large amber pendant necklace,amber_core,110,HIGH,100,0.0,0.0,amber_general
red amber ring,amber_core,110,HIGH,82,0.0,0.0,amber_general
viking amber necklace,amber_core,110,LOW,20,0.0,0.0,amber_general
white amber jewelry,amber_core,110,HIGH,85,0.0,0.0,amber_general
white amber ring,amber_core,110,HIGH,73,0.0,0.0,amber_general
zebra amber,amber_core,110,LOW,21,0.0,0.0,amber_general
baltic amber teething,amber_core,110,HIGH,100,0.39,2.15,amber_types
genuine amber beads,amber_core,110,HIGH,100,0.29,0.63,amber_types
antique amber jewellery,amber_core,110,HIGH,100,0.15,0.8,amber_types
baltic amber and teething,amber_core,110,HIGH,100,0.39,2.15,amber_types
carved amber beads,amber_core,110,MEDIUM,46,0.0,0.0,amber_types
cherry amber bakelite,amber_core,110,HIGH,98,0.0,0.0,amber_types
egg yolk amber beads,amber_core,110,LOW,26,0.0,0.0,amber_types
tibetan amber beads,amber_core,110,LOW,22,0.0,0.0,amber_types
amber green stone,amber_core,110,HIGH,98,0.0,0.0,amber_colors
blue amber price,amber_core,110,MEDIUM,61,0.0,0.0,amber_colors
blue amber raw,amber_core,110,LOW,26,0.0,0.0,amber_colors
dominican green amber,amber_core,110,LOW,29,0.0,0.0,amber_colors
green amber gemstone,amber_core,110,HIGH,98,0.0,0.0,amber_colors
raw blue amber,amber_core,110,LOW,26,0.0,0.0,amber_colors
raw amber teething necklace,amber_core,90,HIGH,100,0.33,1.95,amber_general
best amber teething necklace,amber_core,90,HIGH,100,0.47,2.9,amber_general
baltic jewelry,amber_core,90,HIGH,100,0.46,2.69,amber_general
amber rings for sale,amber_core,90,HIGH,100,0.27,1.85,amber_general
