keyword,scope,avg_monthly_searches,competition,competition_index,low_bid_usd,high_bid_usd,cluster
march birthstone jewelry,expansion,2400,HIGH,100,0.72,2.8,gemstone
october birthstone ring,expansion,2400,HIGH,100,0.52,1.76,gemstone
lapis lazuli bracelet,expansion,2400,HIGH,100,0.37,1.49,gemstone
rose gold morganite ring,expansion,2400,HIGH,100,0.69,3.12,gemstone
grandmother necklace with birthstones,expansion,2400,HIGH,100,0.96,4.56,gemstone
peridot ring gold,expansion,2400,HIGH,100,0.59,2.28,gemstone
aquamarine ring gold,expansion,2400,HIGH,100,0.62,2.37,gemstone
amethyst ring gold,expansion,2400,HIGH,100,0.54,2.5,gemstone
january birthstone jewelry,expansion,2400,HIGH,100,0.68,2.77,gemstone
carnelian ring,expansion,2400,HIGH,100,0.31,1.24,gemstone
garnet birthstone necklace,expansion,2400,HIGH,100,0.8,3.51,gemstone
lapis bracelet,expansion,2400,HIGH,100,0.37,1.49,gemstone
spinel ring,expansion,2400,HIGH,100,0.38,1.67,gemstone
gold and sapphire necklace,expansion,2400,HIGH,100,0.87,4.84,gemstone
sapphire pendant gold,expansion,2400,HIGH,100,0.87,4.84,gemstone
black onyx ring womens,expansion,2400,HIGH,100,0.35,1.55,gemstone
sterling silver opal ring,expansion,2400,HIGH,97,0.35,1.34,gemstone
morganite and rose gold ring,expansion,2400,HIGH,100,0.69,3.12,gemstone
aquamarine and gold ring,expansion,2400,HIGH,100,0.62,2.37,gemstone
pandora necklace birthstone,expansion,2400,HIGH,100,0.42,1.51,gemstone
gold and amethyst ring,expansion,2400,HIGH,100,0.54,2.5,gemstone
mens emerald wedding ring,expansion,2400,HIGH,100,1.03,3.38,gemstone
precious stone earrings,expansion,2400,HIGH,100,0.6,2.13,gemstone
yellow sapphire jewellery,expansion,2400,HIGH,79,0.72,3.37,gemstone
black onyx ring ladies,expansion,2400,HIGH,100,0.35,1.55,gemstone
ametrine jewellery,expansion,2400,HIGH,100,0.36,1.96,gemstone
red coral jewellery,expansion,2400,HIGH,100,0.25,1.37,gemstone
2 birthstone necklace,expansion,2400,HIGH,100,1.18,4.6,birthstone
3 birthstone ring,expansion,2400,HIGH,100,0.82,3.76,birthstone
pandora birthstone necklace,expansion,2400,HIGH,100,0.42,1.51,birthstone
december birthstone bracelet,expansion,2400,HIGH,100,0.59,2.46,birthstone
three birthstone ring,expansion,2400,HIGH,100,0.82,3.76,birthstone
3 stone birthstone ring,expansion,2400,HIGH,100,0.82,3.76,birthstone
two stone birthstone necklace,expansion,2400,HIGH,100,1.18,4.6,birthstone
garnet birthstone bracelet,expansion,2400,HIGH,100,0.8,3.51,birthstone
2 birthstone jewelry,expansion,2400,HIGH,100,1.18,4.6,birthstone
necklace with birthstones for grandma,expansion,2400,HIGH,100,0.96,4.56,birthstone
dec birthstone necklace,expansion,2400,HIGH,100,0.59,2.46,birthstone
grandparent birthstone necklace,expansion,2400,HIGH,100,0.96,4.56,birthstone
birthstone necklace garnet,expansion,2400,HIGH,100,0.8,3.51,birthstone
necklace december birthstone,expansion,2400,HIGH,100,0.59,2.46,birthstone
birthstone jewelry january,expansion,2400,HIGH,100,0.68,2.77,birthstone
birthstone garnet necklace,expansion,2400,HIGH,100,0.8,3.51,birthstone
december necklace birthstone,expansion,2400,HIGH,100,0.59,2.46,birthstone
jan birthstone jewelry,expansion,2400,HIGH,100,0.68,2.77,birthstone
oct birthstone ring,expansion,2400,HIGH,100,0.52,1.76,birthstone
ring october birthstone,expansion,2400,HIGH,100,0.52,1.76,birthstone
carnelian crystal jewelry,expansion,2400,HIGH,72,0.32,0.93,warm_stones
carnelian stone jewelry,expansion,2400,HIGH,92,0.39,1.44,warm_stones
carnelian jewelry rings,expansion,2400,HIGH,100,0.31,1.24,warm_stones
ring carnelian,expansion,2400,HIGH,100,0.31,1.24,warm_stones
amber ring,amber_core,1900,HIGH,100,0.25,1.16,amber_general
baltic amber necklace,amber_core,1900,HIGH,100,0.59,2.57,amber_general
natural amber necklace,amber_core,1900,HIGH,100,0.59,2.57,amber_general
ring amber,amber_core,1900,HIGH,100,0.25,1.16,amber_general
ring with amber,amber_core,1900,HIGH,100,0.25,1.16,amber_general
topaz necklace,expansion,1900,HIGH,100,0.79,3.55,gemstone
family birthstone necklace,expansion,1900,HIGH,100,1.07,5.13,gemstone
sapphire pendant,expansion,1900,HIGH,100,1.13,5.78,gemstone
peridot bracelet,expansion,1900,HIGH,100,0.66,3.03,gemstone
citrine earrings,expansion,1900,HIGH,100,0.55,2.55,gemstone
opal pendant,expansion,1900,HIGH,100,0.61,2.48,gemstone
august birthstone necklace,expansion,1900,HIGH,100,0.63,2.55,gemstone
november birthstone necklace,expansion,1900,HIGH,100,0.66,3.83,gemstone
pink sapphire necklace,expansion,1900,HIGH,100,0.79,3.5,gemstone
october birthstone necklace,expansion,1900,HIGH,100,0.71,2.85,gemstone
mother's day necklace with birthstones,expansion,1900,HIGH,100,1.28,6.87,gemstone
blue stone ring,expansion,1900,HIGH,100,0.47,2.73,gemstone
blue topaz engagement ring,expansion,1900,HIGH,100,0.97,3.84,gemstone
amethyst pendant,expansion,1900,HIGH,100,0.5,2.67,gemstone
aquamarine and diamond ring,expansion,1900,HIGH,100,0.92,4.61,gemstone
sapphire and diamond necklace,expansion,1900,HIGH,100,1.03,5.27,gemstone
yellow sapphire engagement ring,expansion,1900,HIGH,100,0.95,3.21,gemstone
green stone ring,expansion,1900,HIGH,100,0.53,2.14,gemstone
black stone ring,expansion,1900,HIGH,100,0.43,1.94,gemstone
emerald solitaire ring,expansion,1900,HIGH,100,1.28,4.27,gemstone
aquamarine diamond ring,expansion,1900,HIGH,100,0.92,4.61,gemstone
black opal engagement ring,expansion,1900,HIGH,100,0.81,2.23,gemstone
black opal necklace,expansion,1900,HIGH,100,0.55,2.06,gemstone
amethyst and diamond ring,expansion,1900,HIGH,99,0.91,4.21,gemstone
lab grown emerald ring,expansion,1900,HIGH,100,0.83,4.16,gemstone
garnet ring gold,expansion,1900,HIGH,100,0.51,2.31,gemstone
sapphire diamond engagement ring,expansion,1900,HIGH,100,1.5,5.18,gemstone
pink stone ring,expansion,1900,HIGH,100,0.4,1.9,gemstone
sapphire diamond necklace,expansion,1900,HIGH,100,1.03,5.27,gemstone
colombian emerald ring,expansion,1900,HIGH,100,0.56,2.59,gemstone
mens garnet ring,expansion,1900,HIGH,100,0.47,1.67,gemstone
diamond and emerald necklace,expansion,1900,HIGH,99,1.19,4.92,gemstone
mens amethyst ring,expansion,1900,HIGH,100,0.41,1.5,gemstone
paraiba tourmaline ring,expansion,1900,HIGH,100,0.35,1.54,gemstone
august birthstone bracelet,expansion,1900,HIGH,100,0.63,2.55,gemstone
watermelon tourmaline ring,expansion,1900,HIGH,100,0.31,1.59,gemstone
july birthstone jewelry,expansion,1900,HIGH,100,0.79,3.11,gemstone
amethyst diamond ring,expansion,1900,HIGH,99,0.91,4.21,gemstone
personalized birthstone necklace for mom,expansion,1900,HIGH,100,0.98,5.72,gemstone
